,path,class
54,"D:\helios\facetype\脸型\五角脸\u=3750577303,3143282315&fm=11&gp=0.jpg",5
24,D:\helios\facetype\脸型\长形脸\d175d354564e925808f76cee9b82d158cdbf4e42.jpg,1
5,D:\helios\facetype\脸型\三角脸\b9badeca7bcb0a462d511ff76d63f6246a60af53.jpg,6
45,D:\helios\facetype\脸型\方形脸\71ba8413632762d072ca2e98a3ec08fa503dc6fc.jpg,3
15,D:\helios\facetype\脸型\五角脸\0fe8c411728b4710f0d5752bc7cec3fdfd03232c.jpg,5
67,D:\helios\facetype\脸型\钻石脸\436d62600c338744b3f52a39540fd9f9d72aa008.jpg,2
29,D:\helios\facetype\脸型\三角脸\e72fd9160924ab180ce854ba32fae6cd7a890b0e.jpg,6
69,D:\helios\facetype\脸型\三角脸\c857db1b0ef41bd5f16b68f256da81cb39db3d41.jpg,6
66,D:\helios\facetype\脸型\方形脸\25aca151f3deb48f604f2e25f71f3a292cf578fa.jpg,3
28,D:\helios\facetype\脸型\长形脸\3e9dba1c8701a18be318c9aa9b2f07082938fe2a.jpg,1
7,D:\helios\facetype\脸型\长形脸\ba6d4ba7d933c895f8eeadb5d51373f083020030.jpg,1
20,D:\helios\facetype\脸型\方形脸\1e2d0a4f78f0f736cb58b5390055b319ebc41329.jpg,3
1,D:\helios\facetype\脸型\鹅蛋脸\5c6db199a9014c089aac746b0e7b02087af4f437.jpg,0
47,D:\helios\facetype\脸型\方形脸\436d62600c3387443c8fb68c5b0fd9f9d62aa046.jpg,3
39,D:\helios\facetype\脸型\钻石脸\bafa062442a7d933b7f07258a74bd11373f0010e.jpg,2
45,D:\helios\facetype\脸型\方形脸\71ba8413632762d072ca2e98a3ec08fa503dc6fc.jpg,3
27,D:\helios\facetype\脸型\三角脸\e60af2f2b21193130286201269380cd790238d11.jpg,6
9,D:\helios\facetype\脸型\长形脸\b74172f40ad162d9a6b5587814dfa9ec8b13cdc0.jpg,1
33,D:\helios\facetype\脸型\三角脸\1827d4c451da81cbb3b23efa5866d0160924317e.jpg,6
20,D:\helios\facetype\脸型\方形脸\1e2d0a4f78f0f736cb58b5390055b319ebc41329.jpg,3
11,D:\helios\facetype\脸型\三角脸\19e627dda3cc7cd9187f20cd3f01213fb80e9119.jpg,6
32,D:\helios\facetype\脸型\三角脸\7ddcd843ad4bd113673d97095dafa40f4afb05e5.jpg,6
49,D:\helios\facetype\脸型\三角脸\3248a88b87d6277f74686f4b2f381f30e924fc11.jpg,6
4,D:\helios\facetype\脸型\三角脸\479a5e2c11dfa9ec69e9e12d65d0f703908fc18b.jpg,6
1,D:\helios\facetype\脸型\鹅蛋脸\5c6db199a9014c089aac746b0e7b02087af4f437.jpg,0
54,"D:\helios\facetype\脸型\五角脸\u=3750577303,3143282315&fm=11&gp=0.jpg",5
27,D:\helios\facetype\脸型\三角脸\e60af2f2b21193130286201269380cd790238d11.jpg,6
11,D:\helios\facetype\脸型\三角脸\19e627dda3cc7cd9187f20cd3f01213fb80e9119.jpg,6
31,D:\helios\facetype\脸型\五角脸\ecfe50df8db1cb13a9dfdabbda54564e93584bbf.jpg,5
52,D:\helios\facetype\脸型\三角脸\0c484390f603738d5e00729fb41bb051f919ec8b.jpg,6
33,D:\helios\facetype\脸型\三角脸\1827d4c451da81cbb3b23efa5866d0160924317e.jpg,6
19,"D:\helios\facetype\脸型\鹅蛋脸\u=4279567134,2031918367&fm=26&gp=0.jpg",0
7,D:\helios\facetype\脸型\长形脸\ba6d4ba7d933c895f8eeadb5d51373f083020030.jpg,1
63,D:\helios\facetype\脸型\长形脸\b60671f0f736afc3b280612bb619ebc4b64512bd.jpg,1
33,D:\helios\facetype\脸型\三角脸\1827d4c451da81cbb3b23efa5866d0160924317e.jpg,6
29,D:\helios\facetype\脸型\三角脸\e72fd9160924ab180ce854ba32fae6cd7a890b0e.jpg,6
3,D:\helios\facetype\脸型\三角脸\03b45b66d0160924945c40e4df0735fae7cd3499.jpg,6
3,D:\helios\facetype\脸型\三角脸\03b45b66d0160924945c40e4df0735fae7cd3499.jpg,6
